ID_user,transparency_score,effectiveness_score_1,effectiveness_score_2
0,2,1,2
1,5,2,3
2,3,6,5
3,3,1,2
4,6,6,6
5,3,1,3
6,3,5,5
7,2,3,5
8,4,6,5
9,4,1,2
10,5,2,3
11,6,3,3
12,4,2,1
13,6,5,6
14,2,3,4
15,2,5,5
16,4,2,3
17,4,3,4
18,3,5,6
19,6,4,5
20,5,5,5
21,3,6,6
22,2,3,1
23,3,2,2
24,3,2,4
25,4,2,3
26,5,5,6
27,5,1,2
28,6,3,4
29,4,5,6
30,6,6,6
31,3,2,4
32,5,1,1
33,6,5,4
34,5,4,3
35,4,5,4
36,2,1,1
37,2,4,6
38,5,6,5
39,2,4,5
40,6,3,3
41,2,5,6
42,3,3,1
43,2,2,4
44,2,3,1
45,5,6,6
46,6,3,3
47,2,1,3
48,4,1,1
49,2,6,6
50,3,1,3
51,5,2,3
52,6,5,5
53,2,5,4
54,6,6,6
55,6,5,5
56,6,5,4
57,6,1,2
58,4,3,3
59,4,5,5
60,2,4,3
61,3,3,5
62,4,2,3
63,3,1,2
64,4,6,5
65,4,1,1
66,6,4,3
67,5,2,1
68,5,3,2
69,5,2,3
70,6,6,6
71,6,4,4
72,6,3,4
73,3,1,3
74,6,6,5
75,2,6,4
76,2,6,6
77,2,2,4
78,2,3,5
79,5,6,6
80,3,1,2
81,2,3,1
82,5,1,2
83,4,2,2
84,6,2,3
85,5,5,6
86,4,3,3
87,6,1,1
88,2,5,3
89,2,6,4
90,5,3,3
91,3,6,6
92,2,1,3
93,5,3,3
94,4,1,1
95,4,5,5
96,2,6,5
97,6,1,2
98,6,4,4
99,3,1,3
